Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label
6/29/2016,2016,6,29,2,26,2016-26,28.4,37.6,27.6,29.3,7700,29.3,-0.010135174,28.55,35.4992,undefined
6/30/2016,2016,6,30,3,26,2016-26,30.6,30.6,22.2,25.4,2300,25.4,-0.133105792,27.99285714,35.1912,undefined
7/1/2016,2016,7,1,4,26,2016-26,25.6,26.6,24.02,24.52,600,24.52,-0.034645637,27.37285714,34.8412,undefined
7/5/2016,2016,7,5,1,27,2016-27,24,26.52,23,25.6,400,25.6,0.044045673,27.04428571,34.5492,undefined
7/6/2016,2016,7,6,2,27,2016-27,26,26,25.4,25.4,0,25.4,-0.00781253,26.70142857,34.2372,undefined
7/7/2016,2016,7,7,3,27,2016-27,25,25,23.6,24.2,800,24.2,-0.04724405,26.40142857,33.9012,undefined
7/8/2016,2016,7,8,4,27,2016-27,23.6,25.4,22.4,22.4,700,22.4,-0.07438021,25.95857143,33.5452,undefined
7/11/2016,2016,7,11,0,28,2016-28,22.2,23.6,22,22.4,500,22.4,0,25.54428571,33.1412,undefined
7/12/2016,2016,7,12,1,28,2016-28,23.2,23.8,22.6,22.8,300,22.8,0.017857126,25.10142857,32.7272,undefined
7/13/2016,2016,7,13,2,28,2016-28,23,24.8,22.6,23.6,3100,23.6,0.035087771,24.78714286,32.3912,undefined
7/14/2016,2016,7,14,3,28,2016-28,23.6,24.6,23.2,23.2,100,23.2,-0.016949136,24.64428571,32.0472,undefined
7/15/2016,2016,7,15,4,28,2016-28,23.2,23.6,22.2,22.8,800,22.8,-0.017241445,24.53,31.6612,undefined
7/18/2016,2016,7,18,0,29,2016-29,22.8,22.8,21,21.2,700,21.2,-0.070175374,24.45857143,31.2432,undefined
7/19/2016,2016,7,19,1,29,2016-29,21.68,24.8,21.2,22.2,6300,22.2,0.04716981,23.93,30.8452,undefined
7/20/2016,2016,7,20,2,29,2016-29,22.44,29.4,22.44,26,7000,26,0.171171131,23.69428571,30.5132,undefined
7/21/2016,2016,7,21,3,29,2016-29,26.2,27.6,24.8,26,1500,26,0,23.73714286,30.2532,undefined
7/22/2016,2016,7,22,4,29,2016-29,25.84,28,25,28,300,28,0.076923077,23.98571429,29.9876,undefined
7/25/2016,2016,7,25,0,30,2016-30,25.2,39,23,35,6700,35,0.25,24.65714286,29.8676,undefined
7/26/2016,2016,7,26,1,30,2016-30,40,40,35,39.4,8900,39.4,0.125714329,25.65714286,29.8356,undefined
7/27/2016,2016,7,27,2,30,2016-30,35.6,39.3,34.2,36.8,2800,36.8,-0.065989903,26.55714286,29.8156,undefined
7/28/2016,2016,7,28,3,30,2016-30,36.8,39.6,33,36.4,3000,36.4,-0.010869503,27.55714286,29.8676,undefined
7/29/2016,2016,7,29,4,30,2016-30,36,38.4,35,35,2800,35,-0.038461579,28.45714286,29.8316,undefined
8/1/2016,2016,8,1,0,31,2016-31,36.46,39.4,28,28,5200,28,-0.2,28.82857143,29.6716,undefined
